ssp,CODE,gs_tmax_mean_diff,gs_tmin_mean_diff,gs_tmean_mean_diff,gs_hum_mean_diff,gs_vpd_mean_diff,gs_prep_total,ngs_tmax_mean_diff,ngs_tmin_mean_diff,ngs_tmean_mean_diff,ngs_hum_mean_diff,ngs_vpd_mean_diff,ngs_prep_total
SSP245,610581,2.0078763160080206,2.142473935111624,2.0751751189935397,0.23761533493292133,0.1914938156800191,39.15370112950685,1.9837678296088717,2.2251788347515555,2.104473332370773,0.7756397362007073,0.09897509694066986,24.884879338875653
SSP245,610630,2.0155000738143922,2.159715767923991,2.087607921727498,0.3989650605519613,0.13872377843856806,39.195307905971994,1.9741391003791393,2.243878946920154,2.1090090234744596,0.8245147842589255,0.07684744301291996,23.70091557751099
SSP245,141023,1.9531089883284134,2.110173784949563,2.031641382737593,0.542878720370206,0.18165117420933458,48.2236474535682,1.9727181848356383,2.208420782865375,2.090569489713167,0.8881910627898247,0.09917293680232452,24.902046019380737
SSP245,140524,1.8490955115685097,2.068325903613751,1.9587106965285082,0.6425854194054237,0.06639007010826695,90.68691389285601,1.9825414729202055,2.176012644903218,2.0792770593112317,0.8829260565243016,0.058184418197812754,24.051482210709494
SSP245,632128,2.053231547202136,2.013597735953874,2.033414646211865,-0.13028130481949013,0.0899221511654108,19.433920665927552,2.0866336851559097,2.3206955949297257,2.203664638850266,0.46745037962201763,0.056402330273781165,10.590481262546085
SSP245,140821,1.9972659629539207,2.1287572046915684,2.0630115972448277,0.09780065437599465,0.20243989084385056,34.9441397190094,1.990746721961961,2.2076642864381038,2.0992055044427747,0.73252294300631,0.1021131795567815,27.97681540250778
SSP245,620123,2.071178832627777,2.05294542886901,2.0620621315838825,0.053653046754453954,0.12157408810679815,14.333095032021513,2.0344450025669834,2.3218545412317675,2.178149767657765,0.8580980960524356,0.06530637577075948,8.02964718208501
SSP245,610403,2.034049667630877,1.977649004118783,2.0058493205479215,-0.3384448732648577,0.22834095869745527,16.827279925346375,2.0477499951303533,2.292402055938687,2.170076028435631,0.38277675831212404,0.12499475189014872,20.1879460811615
SSP245,411221,1.9282675973397712,2.1063939028139465,2.017330771128337,0.15351827861644604,0.1564251303142971,58.08679569650579,1.986994236895469,2.178185629234604,2.08258993457645,0.708975432636149,0.09005318559959254,26.573261038158776
SSP245,140221,2.031831603561623,2.157410459656646,2.094621039183244,1.1916170269510018,0.10659761812030402,40.38857840455096,1.9317080838229066,2.1601962549285414,2.0459521701786247,1.202372953561848,0.05248965262619352,16.238494310690008
SSP245,610102,2.0177420820508685,1.9803608110972812,1.9990514210292272,-0.2934690611703055,0.1978547841310501,23.962689876556396,2.052881686033401,2.3018933587369665,2.177387536099527,0.34524518409661487,0.10900976344019962,27.59608018398285
