PROVINCE,ME,Year,CODE,A_ha,pro_t,Yield_t_ha,data_completeness_ratio,data_quality,total_days_available,expected_days,missing_days,gs_tmax_mean,gs_tmin_mean,gs_tmean_mean,gs_dtr_mean,gs_hum_mean,gs_vpd_mean,gs_prep_total,gs_days,gs_valid_ratio,ngs_tmax_mean,ngs_tmin_mean,ngs_tmean_mean,ngs_dtr_mean,ngs_hum_mean,ngs_vpd_mean,ngs_prep_total,ngs_days,ngs_valid_ratio,planting_day,harvest_day
14,小店区,1999,140105,5400,34845,6.452777778,1,excellent,365,365,0,29.5992,17.7896,23.4192,11.8096,62.012,1.12121189,288.05,125,0.342465753,13.02829457,-0.50503876,5.719767442,13.53333333,39.60465116,0.609670589,14.6,129,0.353424658,130,254
14,小店区,2000,140105,4740,33795,7.129746835,1,excellent,366,366,0,28.8348,17.1348,22.7072,11.7,63.12,1.029068734,276.9,125,0.341530055,11.09534884,-1.882945736,4.222868217,12.97829457,43.06589147,0.599009263,16.95,129,0.352459016,130,254
14,小店区,2001,140105,4420,27490,6.219457014,1,excellent,365,365,0,29.7372,17.0352,23.1484,12.702,59.08,1.188903546,213.75,125,0.342465753,11.85542636,-1.115116279,4.944186047,12.97054264,45.02713178,0.567788084,29.55,129,0.353424658,130,254
14,小店区,2002,140105,4660,33949,7.285193133,1,excellent,365,365,0,28.5348,17.0508,22.4344,11.484,66.144,0.963308363,331.05,125,0.342465753,13.61007752,0.604651163,6.545348837,13.00542636,45.09302326,0.580297303,37.9,129,0.353424658,130,254
14,小店区,2003,140105,4850,40811,8.414639175,1,excellent,365,365,0,27.7124,16.2056,21.6452,11.5068,67.224,0.868315085,278.3,125,0.342465753,10.42984496,-0.787596899,4.211627907,11.21744186,60.87209302,0.391277484,55.6,129,0.353424658,130,254
14,小店区,2004,140105,7890,59396,7.528010139,1,excellent,366,366,0,27.7624,16.512,21.6956,11.2504,64,0.962773102,333.15,125,0.341530055,12.84031008,-0.527131783,5.485658915,13.36744186,44.39922481,0.604185688,29.2,129,0.352459016,130,254
14,小店区,2005,140105,7030,50556,7.191465149,1,excellent,365,365,0,29.9224,17.8072,23.2372,12.1152,58.852,1.215626977,209.2,125,0.342465753,11.1003876,-1.680232558,4.190697674,12.78062016,43.86821705,0.624899128,17.05,129,0.353424658,130,254
14,小店区,2006,140105,7260,57535,7.924931129,1,excellent,365,365,0,28.78,17.7044,22.6128,11.0756,62.084,1.073555963,316.75,125,0.342465753,12.50542636,-0.034496124,5.734496124,12.53992248,45.67054264,0.6270336,38.3,129,0.353424658,130,254
14,小店区,2007,140105,8110,60469,7.456103576,1,excellent,365,365,0,28.9116,17.44,22.7312,11.4716,60.252,1.129398965,319.45,125,0.342465753,12.36860465,-0.025581395,5.613953488,12.39418605,46.30620155,0.599627614,52.5,129,0.353424658,130,254
14,小店区,2008,140105,9400,72744,7.738723404,1,excellent,366,366,0,28.5684,16.8956,22.3376,11.6728,59.152,1.128048346,202,125,0.341530055,10.41317829,-1.06744186,4.174031008,11.48062016,50.98062016,0.483329562,98.75,129,0.352459016,130,254
14,小店区,2009,140105,9345.6,72323.5,7.738775467,1,excellent,365,365,0,28.5024,17.0816,22.3976,11.4208,59.336,1.184421382,489.9,125,0.342465753,12.79534884,0.139534884,5.881395349,12.65581395,41.89922481,0.649983663,32.15,129,0.353424658,130,254
14,小店区,2010,140105,9107.5,65972.9,7.243799067,1,excellent,365,365,0,29.0744,18.0532,23.1448,11.0212,59.136,1.223557685,230.1,125,0.342465753,10.04573643,-1.197286822,3.898449612,11.24302326,47.78294574,0.492502348,45.55,129,0.353424658,130,254
