Variable,Coefficient,Std_Error,t_value,p_value,CI_2.5%,CI_97.5%,Std_Beta,Partial_R2,Elasticity_%(per_unit),q_value_BH,Sig(p),Sig(q)
gs_tmin_mean,-0.060081016330281005,0.047807383705385134,-1.2567308995725976,0.2089279148867289,-0.15381145708876506,0.03364942442820306,-0.4075048792364144,0.00041316932887788295,-5.8311761631630095,7.076795816018944e-09,,***
prep_total,0.006871414406356814,0.0030380204385136345,2.261806510333645,0.02376532092326822,0.0009151170174434243,0.012827711795270202,0.16442451573668637,0.0013370658389510696,0.6895076741182615,7.076795816018944e-09,*,***
gs_vpd_mean,-0.07151804002560262,0.011948975389117504,-5.985286411313348,2.3589319386729812e-09,-0.0949450222829083,-0.04809105776829694,-0.33520805280762656,0.009288382525251139,-6.902051745033,7.076795816018944e-09,***,***
