,model1,model2,model3,model4,model5
scale,log,log,log,log,log
RMSE,0.32981818779470107,0.3918669265257749,0.34603342997274017,0.3363061028010562,0.2818212390255016
MAE,0.23583614296463384,0.28766061713542623,0.24892155991589413,0.23800852931504932,0.18671571514380056
RSE,0.6481942441525129,0.7701391119335471,0.6800621854495722,0.6631643909606438,0.6089391107190685
RMSE_original,1175.776938688459,1414.5296268314412,1244.78142433151,1078.6596159144422,1090.868122518354
MAE_original,906.6872237092218,1120.9380715510495,965.3352079560991,812.4085458083435,831.0576683199723
MAPE_original,26.69888409401481,33.97352931466947,28.629046987293354,27.163495782967555,21.5848937145764
