,model1,model2,model3,model4,model5
r2_main,0.04517643198883026,0.08762391514990031,0.28856899729624663,0.2848780555293986,0.13319501292983826
r2_main_label,FE-space R2,FE-space R2,FE-space R2,FE-space R2,FE-space R2
r2_inclusive,0.5798442218475526,0.4068857482702073,0.5375154239215516,0.5602129905617983,0.62919315943667
delta_inclusive_weather,0.02013771606410142,0.05696224805838335,0.04744260817167811,0.08990091496914199,0.02837585873992099
oos_r2,,0.1863611847776614,0.3672337439761264,,
oos_scheme,LOCO(CODE),LOYO(Year),LOYO(Year),LOCO(CODE),LOCO(CODE)
