Variable,Coefficient,Std_Error,t_value,p_value,CI_2.5%,CI_97.5%,Std_Beta,Partial_R2,Elasticity_%(per_unit),q_value_BH,Sig(p),Sig(q)
gs_tmin_mean,-0.009311285430442564,0.033956343872217264,-0.27421342726067055,0.7839964205499146,-0.07597250465339384,0.05734993379250871,-0.0880919220631099,0.00010064984675467822,-0.9268069647768273,6.513920410600171e-05,,***
prep_total,0.0030356101979840066,0.0013522890774721292,2.2447938451581337,0.02507324186189175,0.0003808709544010696,0.0056903494415669435,0.10408099414120708,0.006700581673521421,0.30402223283167995,6.513920410600171e-05,*,***
gs_vpd_mean,-0.061243458172397146,0.014330289169300807,-4.273707072401337,2.1713068035333905e-05,-0.0893758905519809,-0.03311102579281339,-0.37745111863417824,0.023867003394135018,-5.940578345057556,6.513920410600171e-05,***,***
