Variable,Coefficient,Std_Error,t_value,p_value,CI_2.5%,CI_97.5%,Std_Beta,Partial_R2,Elasticity_%(per_unit),q_value_BH,Sig(p),Sig(q)
gs_tmin_mean,0.07057749958590524,0.021793191938274288,3.238511356473373,0.0012263877255780375,0.027831027053873143,0.11332397211793735,0.7099756533510962,0.006565280049773737,7.312773316303756,0.0036791631767341126,**,**
prep_total,0.003054649635612036,0.0010349873672518578,2.951388328268074,0.003209911049976366,0.0010245633962699388,0.005084735874954133,0.1063893520339311,0.005458817254341957,0.3059319831870688,0.0036791631767341126,**,**
gs_vpd_mean,-0.03489618980808371,0.014383789849861214,-2.4260775617783668,0.015373829782291848,-0.06310941710700789,-0.006682962509159531,-0.23125706174502236,0.0036950873329269713,-3.429433885572597,0.0036791631767341126,*,**
