Year,CODE,True_Value_Log,Fitted_Value_Log,Residual_Log,True_Value_Original,Fitted_Value_Original,Residual_Original,Standardized_Residual,Absolute_Error_Log,Absolute_Error_Original,Squared_Error_Log,Squared_Error_Original,Leverage,Cooks_Distance,Relative_Error_Original,Percentage_Error_Original
2001,140121,8.583602268098437,8.582032140046673,0.0015701280517639304,5343.318966,5334.935854003857,8.38311199614327,0.009738368219160708,0.0015701280517639304,8.38311199614327,2.4653020989359957e-06,70.2765667398812,0.05460911325641697,1.1670970441678123e-07,0.001568896045601196,0.1568896045601196
2002,140121,8.788520778860436,8.618211917754893,0.17030886110554277,6558.523490000002,5531.486792342187,1027.0366976578152,1.056302636315827,0.17030886110554277,1027.0366976578152,0.02900510817106706,1054804.3783358706,0.04972634213780864,0.0012375368632616221,0.1565957184149408,15.65957184149408
2003,140121,8.694572085519583,8.603613830972723,0.09095825454686057,5970.417192999998,5451.324201915599,519.0929910843997,0.5641482389632863,0.09095825454686057,519.0929910843997,0.008273404070211482,269457.5333929487,0.05149833120633096,0.0003669405564956966,0.0869441739671072,8.69441739671072
2004,140121,8.703238331561066,8.615817796743988,0.08742053481707757,6022.383147000004,5518.259583678178,504.1235633218257,0.5422063232411178,0.08742053481707757,504.1235633218257,0.007642349907703871,254140.5670962948,0.04823163015398068,0.00031527595179250945,0.08370831795598231,8.370831795598232
2005,140121,8.67266036953635,8.624942406926722,0.04771796260962802,5841.017964,5568.841972606208,272.17599139379126,0.2959599951345673,0.04771796260962802,272.17599139379126,0.0022770039556138577,74079.77029119314,0.048540207361478814,9.459736817762401e-05,0.04659735564439214,4.659735564439214
2006,140121,8.750503499112416,8.64584931582885,0.10465418328356613,6313.866333999998,5686.494837822381,627.3714961776168,0.6490941750553041,0.10465418328356613,627.3714961776168,0.01095249807875025,393594.99421614147,0.048358046355033435,0.0004531367603019748,0.09936407630285717,9.936407630285716
2007,140121,8.781671671661352,8.631385649250014,0.15028602241133804,6513.756939999996,5604.8392158398965,908.9177241600992,0.9321154556728424,0.15028602241133804,908.9177241600992,0.0225858885322212,826131.4292923742,0.04739154333045091,0.0009139105472475506,0.13953817014242165,13.953817014242166
2008,140121,8.794653196148232,8.605291469220276,0.18936172692795594,6598.866667000001,5460.477227482689,1138.389439517312,1.1744737770711786,0.18936172692795594,1138.389439517312,0.03585786362513776,1295930.5160045398,0.047135859643891234,0.001442342494481358,0.17251287182543582,17.25128718254358
2009,140121,8.693328369300676,8.63653719149573,0.05679117780494636,5962.996303999998,5633.787281412555,329.20902258744354,0.35223458395197593,0.05679117780494636,329.20902258744354,0.003225237876473032,108378.58055297991,0.06032209828711736,0.00017071618073008445,0.05520865782972379,5.520865782972379
2010,140121,8.744226813942696,8.64743731534829,0.096789498594406,6274.360295999996,5695.532162626715,578.8281333732812,0.600315226520123,0.096789498594406,578.8281333732812,0.009368207038156521,335042.00798439694,0.04845864791893885,0.00038847847619458245,0.09225293194308481,9.225293194308481
2011,140121,8.65196971731549,8.616481865620344,0.03548785169514623,5721.405192999997,5521.925305130402,199.47988786959468,0.22010546638285317,0.03548785169514623,199.47988786959468,0.0012593876179366934,39792.22566446607,0.047717163730472946,5.1344821624369664e-05,0.034865541093585466,3.4865541093585466
2012,140121,8.656450658739164,8.661388572466464,-0.004937913727300014,5747.099999999995,5775.548865197472,-28.448865197477062,-0.030626305960761085,0.004937913727300014,28.448865197477062,2.4382991978257916e-05,809.3379310242216,0.04902032165144478,1.0240359458373182e-06,-0.004950125314937462,-0.4950125314937462
2013,140121,8.67738842321847,8.66794118061507,0.009447242603400241,5868.700000000005,5813.518036448979,55.181963551026456,0.05859441019749791,0.009447242603400241,55.181963551026456,8.925039280750056e-05,3045.049101346812,0.047015903214146,3.579959681792468e-06,0.009402757604073544,0.9402757604073544
2014,140121,8.76153447484656,8.625277074208157,0.13625740063840297,6383.900000000001,5570.705993705956,813.1940062940448,0.8451060654013303,0.13625740063840297,813.1940062940448,0.018566079228734256,661284.491872559,0.04968806191937397,0.0007914699108917751,0.1273820088494564,12.738200884945641
2015,140121,8.56537364594099,8.61393248890046,-0.04855884295946922,5246.8,5507.86576645365,-261.0657664536502,-0.3011753675150624,0.04855884295946922,261.0657664536502,0.002357961229562393,68155.33441403184,0.050645665225055404,0.00010266367033221074,-0.04975714081986167,-4.975714081986167
2016,140121,8.528845044156686,8.690214900740193,-0.1613698565835069,5058.600000000005,5944.459574218011,-885.859574218006,-1.000860459194966,0.1613698565835069,885.859574218006,0.026040230613781582,784747.1852337068,0.051262611454344964,0.0011490741189882346,-0.17511951413790477,-17.511951413790477
2017,140121,8.563122123304638,8.655258121680939,-0.09213599837630149,5235.000000000002,5740.250455252394,-505.2504552523924,-0.5714529317659243,0.09213599837630149,505.2504552523924,0.00848904219679783,255278.02253274975,0.04687245046266539,0.0003393663893888723,-0.09651393605585333,-9.651393605585334
2018,140121,8.70201162840878,8.712195405341948,-0.010183776933168076,6015.000000000004,6076.568385504742,-61.56838550473822,-0.06316259971635527,0.010183776933168076,61.56838550473822,0.00010370931262452618,3790.666093660059,0.05278690947526629,4.727626205445823e-06,-0.010235808063963122,-1.023580806396312
2019,140121,8.415891095885913,8.635652097644941,-0.21976100175902857,4518.300000000001,5628.8030570116925,-1110.5030570116915,-1.3630184830700747,0.21976100175902857,1110.5030570116915,0.04829489789413176,1233217.039632312,0.057174320986642366,0.0024067666496459085,-0.2457789560258706,-24.57789560258706
2020,140121,8.4416719133237,8.67381999265428,-0.2321480793305799,4636.299999999999,5847.795272265502,-1211.4952722655025,-1.439846562420389,0.2321480793305799,1211.4952722655025,0.05389273073687722,1467720.7947216642,0.04911133783368644,0.002268021350418401,-0.2613064884208319,-26.130648842083186
2021,140121,8.466468156591265,8.688148374711561,-0.22168021812029615,4752.7,5932.187878038747,-1179.487878038747,-1.3749219934858428,0.22168021812029615,1179.487878038747,0.049142119105862074,1391191.6544403464,0.04888312454199095,0.0020574987753388713,-0.24817217119505694,-24.817217119505695
2022,140121,8.506152466299257,8.6924276235981,-0.1862751572988426,4945.099999999998,5957.627578995667,-1012.5275789956695,-1.1553300189881255,0.1862751572988426,1012.5275789956695,0.03469843422670855,1025212.0982268318,0.048905297253746614,0.001453492439803618,-0.20475371155197467,-20.475371155197468
2001,140924,7.1553298094441615,7.841206715962297,-0.6858769065181356,1280.9148259999997,2543.2719897681386,-1262.357163768139,-4.253998176256207,0.6858769065181356,1262.357163768139,0.4704271308948873,1593545.60891674,0.09564699205743477,0.04262675029719541,-0.9855121809388279,-98.55121809388278
