Variable,Coefficient,Std_Error,t_value,p_value,CI_2.5%,CI_97.5%,Std_Beta,Partial_R2,Elasticity_%(per_unit),q_value_BH,Sig(p),Sig(q)
gs_tmin_mean,0.15565059943451373,0.05452193827660798,2.8548251282785717,0.004318535627107156,0.04877133883951702,0.26252986002951045,1.0441333053951676,0.0011468976144104767,16.84178858908385,0.012955606881321469,**,*
prep_total,0.005790651394721712,0.002188600368062892,2.6458240066216194,0.008167188579707219,0.0015003419070111742,0.010080960882432249,0.13874095914453644,0.0009852757628438136,0.5807449625088834,0.012250782869560828,**,*
gs_vpd_mean,-0.04787482317544776,0.02071656012710797,-2.310944620231751,0.02086442937722177,-0.08848545989243065,-0.007264186458464869,-0.23081331572058794,0.0007518244499279635,-4.674689519390407,0.012250782869560828,*,*
