Variable,Unit,model1_robust_coef,model1_robust_se,model1_robust_pval,model1_robust_sig,model2_robust_coef,model2_robust_se,model2_robust_pval,model2_robust_sig,model3_robust_coef,model3_robust_se,model3_robust_pval,model3_robust_sig,model4_robust_coef,model4_robust_se,model4_robust_pval,model4_robust_sig,model5_robust_coef,model5_robust_se,model5_robust_pval,model5_robust_sig
gs_tmin_mean,degree Celsius,0.07057749958590524,0.021793191938274288,0.0012263877255780375,**,0.14681603850227148,0.035156585226961606,3.122958918932994e-05,***,0.053969454317284914,0.025793126536826385,0.03655756201230398,*,-0.009311285430442564,0.033956343872217264,0.7839964205499146,,0.03661228139849585,0.01631771421376751,0.025112495365404053,*
prep_total,cm,0.003054649635612036,0.0010349873672518578,0.003209911049976366,**,0.007029986911169933,0.0015229922667978218,4.220616234507091e-06,***,0.0018885085644161437,0.001129398722246957,0.094689612032828,,0.0030356101979840066,0.0013522890774721292,0.02507324186189175,*,0.0009607804861988333,0.0010060037382037003,0.339830847828551,
gs_vpd_mean,hPa,-0.03489618980808371,0.014383789849861214,0.015373829782291848,*,0.0035223176276816047,0.012921823864491219,0.7852054665906227,,-0.0365979576435332,0.013594582918691953,0.0071731512289958665,**,-0.061243458172397146,0.014330289169300807,2.1713068035333905e-05,***,-0.0074116950981087636,0.009888564162737742,0.45375408357892333,
