,model1,model2,model3,model4,model5
r2_main,0.06696416777755809,0.19511563791179665,0.3552912874581201,0.45898948183550314,0.049215513968979385
r2_main_label,FE-space R2,FE-space R2,FE-space R2,FE-space R2,FE-space R2
r2_inclusive,0.6396063271387404,0.4412688212455387,0.5524588675356557,0.6094803018821537,0.7200523703150169
delta_inclusive_weather,0.01572277549659229,0.13544453774831844,0.019666151477412352,0.06565415052593138,0.0052580800836043995
oos_r2,,0.1401839808975366,0.3037623100648402,,
oos_scheme,LOCO(CODE),LOYO(Year),LOYO(Year),LOCO(CODE),LOCO(CODE)
