Variable,Coefficient,Std_Error,T_Statistic,P_Value,Conf_Lower,Conf_Upper,Significant
Yr,0.014900215048266042,0.0033048532446995895,4.5085859930886185,6.992479314904543e-06,0.00841800246314012,0.021382427633391963,True
gs_tmin_mean,0.053969454317284914,0.025793126536826385,2.0923967569511013,0.03655756201230398,0.003378242827057454,0.10456066580751237,True
prep_total,0.0018885085644161437,0.001129398722246957,1.6721362679239848,0.094689612032828,-0.00032671918365889587,0.004103736312491183,False
gs_vpd_mean,-0.0365979576435332,0.013594582918691953,-2.6920986000396243,0.0071731512289958665,-0.06326267464009479,-0.009933240646971608,True
