Variable,Coefficient,Std_Error,t_value,p_value,CI_2.5%,CI_97.5%,Std_Beta,Partial_R2,Elasticity_%(per_unit),q_value_BH,Sig(p),Sig(q)
gs_tmin_mean,0.14681603850227148,0.035156585226961606,4.17606083055183,3.122958918932994e-05,0.07785916258345599,0.21577291442108698,1.4768986358208478,0.010592241153898816,15.814089009912525,1.2661848703521272e-05,***,***
prep_total,0.007029986911169933,0.0015229922667978218,4.61590453505774,4.220616234507091e-06,0.004042757403841319,0.010017216418498547,0.244845020380392,0.012910676721347833,0.705475527556354,1.2661848703521272e-05,***,***
gs_vpd_mean,0.0035223176276816047,0.012921823864491219,0.2725867234083593,0.7852054665906227,-0.021822823236146212,0.028867458491509422,0.023342400118469445,4.5610885653204365e-05,0.3528528278237131,1.2661848703521272e-05,,***
