Variable,Coefficient,Std_Error,t_value,p_value,CI_2.5%,CI_97.5%,Std_Beta,Partial_R2,Elasticity_%(per_unit),q_value_BH,Sig(p),Sig(q)
gs_tmin_mean,0.053969454317284914,0.025793126536826385,2.0923967569511013,0.03655756201230398,0.003378242827057454,0.10456066580751237,0.5429067169385615,0.002682052720276421,5.545236214971094,2.796991725961817e-05,*,***
prep_total,0.0018885085644161437,0.001129398722246957,1.6721362679239848,0.094689612032828,-0.00032671918365889587,0.004103736312491183,0.06577422174262115,0.0017145244594925983,0.18902929197950336,2.796991725961817e-05,,***
gs_vpd_mean,-0.0365979576435332,0.013594582918691953,-2.6920986000396243,0.0071731512289958665,-0.06326267464009479,-0.009933240646971608,-0.2425346777702272,0.004431986802156694,-3.5936348132812768,2.796991725961817e-05,**,***
Yr,0.014900215048266042,0.0033048532446995895,4.5085859930886185,6.992479314904543e-06,0.00841800246314012,0.021382427633391963,,0.012332106050395928,,2.796991725961817e-05,***,***
