Year,CODE,True_Value_Log,Fitted_Value_Log,Residual_Log,True_Value_Original,Fitted_Value_Original,Residual_Original,Standardized_Residual,Absolute_Error_Log,Absolute_Error_Original,Squared_Error_Log,Squared_Error_Original,Leverage,Cooks_Distance,Relative_Error_Original,Percentage_Error_Original
1984,140105,8.710433983451262,8.62603495899123,0.08439902446003167,6065.874405999997,5574.929547290895,490.94485870910194,0.24390425071554636,0.08439902446003167,490.94485870910194,0.007123195329805024,241026.85429290007,0.026792376411975564,8.059254622825486e-06,0.08093554627894849,8.093554627894848
1985,140105,8.748080647551607,8.725067573372785,0.023013074178821924,6298.587289999995,6155.292583366177,143.29470663381835,0.06650534944162721,0.023013074178821924,143.29470663381835,0.0005296015831599604,20533.372949272063,0.02639849446114031,5.899099918618144e-07,0.02275029304766823,2.275029304766823
1986,140105,8.753033576508946,8.45333936959313,0.2996942069158166,6329.861129999997,4690.710627068189,1639.1505029318078,0.8660845483611972,0.2996942069158166,1639.1505029318078,0.0898166176589003,2686814.371261598,0.02696016615616131,0.00010229109166972755,0.25895520758949236,25.895520758949235
1987,140105,8.608286229565332,8.588119865456312,0.020166364109019952,5476.854558999998,5367.51253690251,109.34202209748764,0.058278658540617354,0.020166364109019952,109.34202209748764,0.00040668224137756806,11955.677796367476,0.02670901951931972,4.5861425360920587e-07,0.019964383008456606,1.9964383008456605
1988,140105,8.794087968951125,8.870905383908328,-0.07681741495720296,6595.137862000001,7121.72595121557,-526.5880892155683,-0.2219942014367065,0.07681741495720296,526.5880892155683,0.005900915240707108,277295.01570370334,0.02678283180996871,6.673845361515688e-06,-0.0798448948656061,-7.98448948656061
1989,140105,8.92425005760507,8.67987498278515,0.2443750748199207,7511.947692000004,5883.3110301991255,1628.6366618008788,0.7062181097334211,0.2443750748199207,1628.6366618008788,0.059719177193241844,2652457.37616191,0.02627582217299886,6.619390675488225e-05,0.21680617711639916,21.680617711639915
1990,140105,9.015020504377956,8.694342182108713,0.3206783222692433,8225.71502,5969.044731495843,2256.670288504157,0.92672642147467,0.3206783222692433,2256.670288504157,0.10283458637341666,5092560.791017435,0.025973483813795203,0.00011260239890625679,0.27434335896846535,27.434335896846534
1991,140105,8.784380802974155,8.621545668106789,0.16283513486736645,6531.427488000003,5549.958160740718,981.4693272592849,0.4705763107344694,0.16283513486736645,981.4693272592849,0.02651528114727342,963282.0403507933,0.025810668562827016,2.884221062236632e-05,0.15026873207465125,15.026873207465124
1992,140105,8.93612723624948,8.660571614544748,0.275555621704731,7601.700385999997,5770.832411634165,1830.8679743658322,0.7963265911228252,0.275555621704731,1830.8679743658322,0.07593090065308084,3352077.5395584456,0.02595919009040308,8.309505423839336e-05,0.2408497943088799,24.08497943088799
1993,140105,9.008482836653705,8.708372123161588,0.30011071349211704,8172.113433999997,6053.380305411361,2118.7331285886357,0.86728820829756,0.30011071349211704,2118.7331285886357,0.09006644035274756,4489030.070178988,0.026358498189704344,0.00010016253272716835,0.259263793350404,25.9263793350404
1994,140105,9.07770481465708,8.67542671989066,0.4022780947664195,8757.842071000008,5857.198636499986,2900.6434345000225,1.1625411301969009,0.4022780947664195,2900.6434345000225,0.1618276655289004,8413732.334108086,0.026147124728277765,0.00017844722473647518,0.33120526848788157,33.12052684878816
1995,140105,8.968464001279688,8.793015757066518,0.17544824421316996,7851.532394999999,6588.070266460812,1263.4621285391877,0.5070268621936078,0.17544824421316996,1263.4621285391877,0.030782086397484126,1596336.5502527747,0.02588239178306219,3.358145152221963e-05,0.16091917666209768,16.091917666209767
1996,140105,8.919109515365449,8.953975448860819,-0.034865933495369816,7473.431290000003,7738.595180328025,-265.1638903280218,-0.10075885875568868,0.034865933495369816,265.1638903280218,0.0012156333185035508,70311.88873389117,0.026554069724891237,1.3624789791715584e-06,-0.03548087619174749,-3.5480876191747486
1997,140105,8.90619723766256,8.542444567145074,0.3637526705174867,7377.5526079999945,5127.864461287794,2249.6881467122003,1.051206730361695,0.3637526705174867,2249.6881467122003,0.13231600530860324,5061096.757457375,0.026263787827456968,0.00014659085962393135,0.3049369169218403,30.493691692184026
1998,140105,8.705214725928029,8.778722553543107,-0.07350782761507801,6034.297520999996,6494.575399606847,-460.2778786068511,-0.21242984419415434,0.07350782761507801,460.2778786068511,0.005403400720688026,211855.72553482317,0.025871358378651888,5.89214702005564e-06,-0.07627696132068981,-7.627696132068981
1999,140105,8.77226598033683,8.705153281311329,0.06711269902550043,6452.777778000005,6033.926757292601,418.85102070740413,0.19394859921709715,0.06711269902550043,418.85102070740413,0.004504114370487406,175436.1775476343,0.02633386642806681,5.004073744212205e-06,0.06491018831229985,6.491018831229985
2000,140105,8.87203100576533,8.769705896402959,0.10232510936237027,7129.746834999995,6436.279253096964,693.4675819030317,0.29570873938518377,0.10232510936237027,693.4675819030317,0.010470428006021036,480897.287150438,0.025919469840329622,1.1439857521323754e-05,0.09726398397468936,9.726398397468936
2001,140105,8.735437885138072,8.64990160548533,0.08553627965274302,6219.457013999995,5709.584914277371,509.8720997226237,0.2471907978933752,0.08553627965274302,509.8720997226237,0.007316455136832259,259969.55807555714,0.025997145342361794,8.019101465506165e-06,0.08198016299090127,8.198016299090128
2002,140105,8.893599229327997,8.878563209553109,0.015036019774887777,7285.193133000001,7176.47223806252,108.72089493748081,0.043452506239273714,0.015036019774887777,108.72089493748081,0.00022608189067081625,11820.23299600674,0.025812266310982393,2.459384274023822e-07,0.014923543268194754,1.4923543268194754
2003,140105,9.037728226917705,8.93085702098979,0.10687120592791466,8414.639174999995,7561.743172668655,852.8960023313402,0.30884647745257954,0.10687120592791466,852.8960023313402,0.011421454656486741,727431.5907927816,0.025905413370729817,1.2471809795966104e-05,0.10135859477674404,10.135859477674405
2004,140105,8.926386028102778,8.898079796926432,0.02830623117634623,7528.010138999996,7317.908169535566,210.1019694644301,0.08180201311351952,0.02830623117634623,210.1019694644301,0.0008012427234087553,44142.83757283232,0.025657630191826625,8.661183795897353e-07,0.027909363242746586,2.7909363242746585
2005,140105,8.8806502058944,8.726773249322319,0.15387695657208056,7191.465148999998,6165.800476871007,1025.6646721289908,0.44468812329549395,0.15387695657208056,1025.6646721289908,0.023678117763885967,1051988.0196534703,0.026357150808324615,2.6330922361359016e-05,0.14262249081073744,14.262249081073744
2006,140105,8.977768908360718,8.889854652784475,0.08791425557624244,7924.931129000004,7257.964181941554,666.9669470584504,0.2540628967067377,0.08791425557624244,666.9669470584504,0.007728916333524875,444844.90846846974,0.026048486558200194,8.488798404039116e-06,0.08416059852151808,8.416059852151808
2007,140105,8.916788247899841,8.863966174177238,0.052822073722603946,7456.103576000007,7072.477870192839,383.62570580716783,0.15265020413422242,0.052822073722603946,383.62570580716783,0.0027901714723562064,147168.6821560477,0.02592881253608572,3.0496634806316764e-06,0.05145123077984016,5.145123077984016
2008,140105,8.953992018096798,8.844337637506216,0.10965438059058208,7738.723404,6935.009048497669,803.7143555023313,0.31688955774943606,0.10965438059058208,803.7143555023313,0.012024083182704223,645956.7652405277,0.025760632029594943,1.3052596965366316e-05,0.10385619352759222,10.385619352759221
2009,140105,8.95399874566957,8.896735468327837,0.05726327734173431,7738.775466999997,7308.077105871961,430.6983611280357,0.1654848126848478,0.05726327734173431,430.6983611280357,0.0032790829319163817,185501.07827837585,0.027305630205286077,3.7850497557658287e-06,0.05565458811470074,5.565458811470074
2010,140105,8.887901080766587,8.840875034982226,0.04702604578436187,7243.799067000002,6911.037394767704,332.7616722322973,0.13590029665072098,0.04702604578436187,332.7616722322973,0.002211448982112899,110730.33050683487,0.02633021857201486,2.4565623861340633e-06,0.04593745204063337,4.593745204063337
