Variable,Unit,model1_robust_coef,model1_robust_se,model1_robust_pval,model1_robust_sig,model2_robust_coef,model2_robust_se,model2_robust_pval,model2_robust_sig,model3_robust_coef,model3_robust_se,model3_robust_pval,model3_robust_sig,model4_robust_coef,model4_robust_se,model4_robust_pval,model4_robust_sig,model5_robust_coef,model5_robust_se,model5_robust_pval,model5_robust_sig
gs_tmin_mean,degree Celsius,0.052911338605655014,0.030437495483061527,0.082190940510106,,0.15565059943451373,0.05452193827660798,0.004318535627107156,**,0.03239662424019643,0.02932449043499651,0.2692995688288078,,-0.060081016330281005,0.047807383705385134,0.2089279148867289,,0.018903836000638167,0.012096537548710854,0.1182148896017634,
prep_total,cm,0.003799581649469543,0.0014718490276172135,0.009857120084824311,**,0.005790651394721712,0.002188600368062892,0.008167188579707219,**,0.0031356634273796455,0.00170801901751645,0.0664219413900291,,0.006871414406356814,0.0030380204385136345,0.02376532092326822,*,0.0007328192866412277,0.0008920502111681792,0.41142520686317874,
gs_vpd_mean,hPa,-0.06103219253978986,0.012733305341766874,1.6757242553566698e-06,***,-0.04787482317544776,0.02071656012710797,0.02086442937722177,*,-0.07510661288374314,0.011655761081004128,1.2419776318495224e-10,***,-0.07151804002560262,0.011948975389117504,2.3589319386729812e-09,***,-0.06616401015303362,0.022958881901938056,0.003980912191742014,**
