Year,CODE,True_Value_Log,Fitted_Value_Log,Residual_Log,True_Value_Original,Fitted_Value_Original,Residual_Original,Standardized_Residual,Absolute_Error_Log,Absolute_Error_Original,Squared_Error_Log,Squared_Error_Original,Leverage,Cooks_Distance,Relative_Error_Original,Percentage_Error_Original
1980,140121,8.748079429499953,8.317913376182268,0.4301660533176843,6298.579618,4096.603014343759,2201.9766036562405,1.77894858659033,0.4301660533176843,2201.9766036562405,0.18504283342691283,4848700.963049472,0.05131039503935163,0.0036114874443332378,0.34959891550206973,34.959891550206976
1981,140121,8.705539917202907,8.361234507706522,0.34430540949638555,6036.260141000002,4277.972698165642,1758.2874428343594,1.4238725181939402,0.34430540949638555,1758.2874428343594,0.11854621500847375,3091574.7316289907,0.05261383253668129,0.002378977401367103,0.2912875525180847,29.12875525180847
1982,140121,8.606657482716939,8.365964074679031,0.24069340803790773,5467.941410000002,4298.253578634496,1169.687831365506,0.9953858393247667,0.24069340803790773,1169.687831365506,0.057933316672902746,1368169.6228445407,0.05071103908394126,0.0011160683845636914,0.2139174039477328,21.39174039477328
1983,140121,8.568572390853843,8.518874911137345,0.04969747971649774,5263.610045999998,5008.415673023765,255.19437297623335,0.20552356611337166,0.04969747971649774,255.19437297623335,0.002469839490171704,65124.1679987329,0.05033146274584693,4.7186845755616296e-05,0.048482765772165155,4.848276577216516
1984,140121,8.786997202364438,8.565556337003898,0.22144086536053997,6548.538685999997,5247.758631032855,1300.780054967142,0.9157670890304943,0.22144086536053997,1300.780054967142,0.04903605685162479,1692028.7514003208,0.057590240852887095,0.0010885331264892566,0.19863669092282468,19.863669092282468
1985,140121,8.618424830904,8.564928190421305,0.05349664048269531,5532.664643999996,5244.463304464917,288.20133953507866,0.2212349678456356,0.05349664048269531,288.20133953507866,0.002861890542934755,83060.01210981369,0.051590006672923364,5.619311737090588e-05,0.052090874484435654,5.209087448443565
1986,140121,8.5769384816045,8.447093258637222,0.12984522296727796,5307.830604000005,4661.503239279686,646.3273647203196,0.5369739757278271,0.12984522296727796,646.3273647203196,0.01685978192742213,417739.062386313,0.05291825294111495,0.00034051737952409117,0.12176864955585515,12.176864955585515
1987,140121,8.530703010855893,8.533831047971416,-0.003128037115523341,5068.007446999999,5083.885182522516,-15.87773552251656,-0.012935974753342018,0.003128037115523341,15.87773552251656,9.784616196091583e-06,252.1024853229842,0.049296943151213815,1.826967279840634e-07,-0.003132934528720033,-0.3132934528720033
1988,140121,8.713868621697408,8.785565991172987,-0.07169736947557936,6086.744310000001,6539.173047846706,-452.4287378467052,-0.2965039502934276,0.07169736947557936,452.4287378467052,0.00514051278971774,204691.76282956268,0.05518176607405229,0.00010878331089026544,-0.07433016975978494,-7.433016975978495
1989,140121,8.729842943228142,8.68328328634599,0.04655965688215247,6184.756677000001,5903.3973508275,281.3593261725009,0.19254712259097456,0.04655965688215247,281.3593261725009,0.002167801648983768,79163.07042424376,0.050361539616248424,4.144371852568933e-05,0.04549238407693963,4.549238407693963
1990,140121,8.773291970969982,8.688807123778176,0.08448484719180627,6459.401665,5936.09698868652,523.3046763134807,0.3493864714358787,0.08448484719180627,523.3046763134807,0.0071376894050228555,273847.78425155685,0.04845038416733922,0.000130752126047094,0.08101441951643686,8.101441951643686
1991,140121,8.484256957395651,8.644232504668292,-0.15997554727264074,4838.001288000004,5677.308277971581,-839.3069899715774,-0.6615777128733724,0.15997554727264074,839.3069899715774,0.02559217572518091,704436.2234151496,0.04916374241728447,0.00047642817921761366,-0.17348217580126793,-17.348217580126793
1992,140121,8.555528963316794,8.752479139100064,-0.1969501757832699,5195.400341000005,6326.352590919034,-1130.9522499190289,-0.8144860203081056,0.1969501757832699,1130.9522499190289,0.03878937174106091,1279052.9915969134,0.0488901509038848,0.0007176778297410484,-0.21768336907437327,-21.768336907437327
1993,140121,8.720270049346286,8.8644635550748,-0.14419350572851286,6125.833141999998,7075.996460551178,-950.16331855118,-0.5963111947883156,0.14419350572851286,950.16331855118,0.02079176709427867,902810.3319201913,0.05572866697771616,0.00044487009347776566,-0.15510760683908625,-15.510760683908625
1994,140121,8.85491530718441,8.763224348812878,0.0916909583715313,7008.754623999998,6394.697106718942,614.0575172810559,0.3791872918379418,0.0916909583715313,614.0575172810559,0.008407231847089885,377066.63452937425,0.0503324692215896,0.00016062563089001128,0.08761292843358301,8.761292843358301
1995,140121,8.690420765174878,8.868813110805737,-0.1783923456308596,5945.683453,7106.840932755761,-1161.1574797557614,-0.7377402486108843,0.1783923456308596,1161.1574797557614,0.03182382897968007,1348286.6927927516,0.05017566916146491,0.0006059206998130397,-0.19529419770402995,-19.529419770402995
1996,140121,8.847853846751018,9.040902935578146,-0.19304908882712724,6959.436912999998,8441.395652400905,-1481.9587394009068,-0.7983531035582317,0.19304908882712724,1481.9587394009068,0.03726795069698406,2196201.705286725,0.055470006033512036,0.0007932662604006579,-0.21294233397426982,-21.294233397426982
1997,140121,8.651434830131281,8.664054735187925,-0.012619905056643788,5718.345705000001,5790.967964057337,-72.62225905733612,-0.05218952562684167,0.012619905056643788,72.62225905733612,0.00015926200363870343,5273.992510590839,0.06119108503058434,3.785320739881082e-06,-0.012699872096546517,-1.2699872096546516
1998,140121,8.42005793845863,8.97640341411455,-0.5563454756559203,4537.166323999999,7914.117066092723,-3376.950742092724,-2.3007626704636968,0.5563454756559203,3376.950742092724,0.3095202882828122,11403796.3145206,0.05005783845786181,0.0058779197395439214,-0.7442863013925352,-74.42863013925351
1999,140121,8.7589857885151,8.84378708770188,-0.08480129918678081,6367.650158000001,6931.192031448359,-563.5418734483574,-0.3506951563607858,0.08480129918678081,563.5418734483574,0.007191260343765911,317579.4431296844,0.05385005291106837,0.00014809076352847897,-0.08850075922282746,-8.850075922282747
2000,140121,8.90645649505337,8.99768428714258,-0.09122779208921017,7379.465540999995,8084.341221677742,-704.8756806777474,-0.3772718710441885,0.09122779208921017,704.8756806777474,0.008322510049472157,496849.72521091765,0.051408913548432564,0.0001627764003376403,-0.09551852729191405,-9.551852729191406
1980,140924,7.875684244185565,7.854626895188403,0.021057348997161718,2632.4868379999994,2577.633206830748,54.85363116925146,0.0870825137105261,0.021057348997161718,54.85363116925146,0.0004434119467882676,3008.920852452275,0.05749106332259692,9.824117377212067e-06,0.02083719104591074,2.083719104591074
1981,140924,8.127104185333875,7.920860937752358,0.20624324758151769,3384.9830750000006,2754.1411694272215,630.8419055727791,0.8529174511778174,0.20624324758151769,630.8419055727791,0.042536277172971204,397961.5098266951,0.05292055159618662,0.0008591475964300237,0.18636486256959467,18.63648625695947
