,model1,model2,model3,model4,model5
scale,log,log,log,log,log
RMSE,0.22267495774149287,0.2772581065931555,0.2481414284175869,0.24180915432872274,0.16123112378053522
MAE,0.1599638263256096,0.20087165691566594,0.17908697415130043,0.18088140315132178,0.11234574748664398
RSE,0.6003279710801916,0.7474832297479731,0.6689851511538535,0.6249157528162066,0.5291007746025166
RMSE_original,1033.0896310568169,1294.5899892759285,1176.7513229513,1024.4888206631347,868.7085427966753
MAE_original,763.4594105959787,970.5414343843423,868.6743306369468,770.7853991644872,618.1363207924143
MAPE_original,16.848826509031444,22.04192294785612,19.2238281558731,19.09839290813601,11.638746417348734
