Variable,Coefficient,Std_Error,t_value,p_value,CI_2.5%,CI_97.5%,Std_Beta,Partial_R2,Elasticity_%(per_unit),q_value_BH,Sig(p),Sig(q)
gs_tmin_mean,0.052911338605655014,0.030437495483061527,1.7383604585699302,0.082190940510106,-0.006755291322424591,0.11257796853373461,0.3549391462154256,0.0004280900566646213,5.433616206101122,5.027172766070009e-06,,***
prep_total,0.003799581649469543,0.0014718490276172135,2.581502299607937,0.009857120084824311,0.000914315636380125,0.0066848476625589615,0.09103597617288761,0.0009435751123732564,0.38068092108289875,5.027172766070009e-06,**,***
gs_vpd_mean,-0.06103219253978986,0.012733305341766874,-4.793114662820222,1.6757242553566698e-06,-0.08599329415247826,-0.03607109092710145,-0.29424741004642835,0.003245378262322634,-5.920704722606162,5.027172766070009e-06,***,***
