Variable,Coefficient,Std_Error,T_Statistic,P_Value,Conf_Lower,Conf_Upper,Significant
Yr,0.019319704984413363,0.002084849059641508,9.26671640571208,0.0,0.01523277890759261,0.02340663106123412,True
gs_tmin_mean,0.03239662424019643,0.02932449043499651,1.1047634165036868,0.2692995688288078,-0.0250881246407973,0.08988137312119016,False
prep_total,0.0031356634273796455,0.00170801901751645,1.8358480761760287,0.0664219413900291,-0.00021256335676656836,0.006483890211525859,False
gs_vpd_mean,-0.07510661288374314,0.011655761081004128,-6.4437330485563455,1.2419776318495224e-10,-0.09795538156886768,-0.0522578441986186,True
